__id__,accelerometer1,accelerometer2,accelerometer3,gyroscope1,gyroscope2,gyroscope3,pitch,roll,tap_position_x,tap_position_y,tapped_zone
06jxuyzr6tpjMa6p4iO1,0.0008972167968750001,-0.968695068359375,16.991491699218752,1.3501307964324951,-1.0460795164108276,-0.5352314710617065,-0.06499406484127056,-0.00014452278865951444,324.6666564941406,202,2
08SyABb5wQSEAR920RPD,1.1055206298828126,2.4532897949218753,9.848001098632814,-0.6122186779975891,0.931950032711029,-0.15537095069885254,0.2796507435813519,0.12828497150725748,54.666656494140625,634.6666564941406,9
09aSPHmwjnpAIUzUt7hc,-1.9575775146484375,0.6865203857421875,23.941931152343752,0.944354236125946,-0.9450839757919312,0.09497205168008804,0.03303452826307403,-0.09367141712747798,316.6666564941406,175.3333282470703,2
0RWGD8lmw8YDSzRbTwo1,2.8024566650390628,-0.2021728515625,10.431491088867189,0.5572278499603271,4.208670616149902,0.47983530163764954,-0.022097006767111155,0.3015777874428213,48.33332824707031,133,0
0SuumIlZRAtoAoY0JJFP,1.0053314208984376,2.2796783447265625,10.206289672851563,-0.7828173041343689,1.0188673734664917,-0.15329208970069885,0.25166502298354565,0.11271077630007727,35,643,9
0WNs48g46ORNpVzuaZIG,1.044061279296875,2.1441986083984377,10.012490844726564,-0.7476076483726501,0.9092655181884766,-0.18695977330207825,0.24160250960834373,0.11923927996383418,43.666656494140625,639,9
0m0OGASotmOaZCMMSzNm,-2.4760192871093754,2.5742645263671875,16.947677612304688,-0.5724475383758545,-1.281916618347168,0.22814129292964935,0.17262605010696902,-0.16649094710803788,304.6666564941406,637.6666564941406,11
0mZ7SRz1EGFuNQlBwh2g,0.1897613525390625,0.42019653320312506,11.4078125,0.5751639604568481,2.4860775470733643,0.3834182322025299,0.04230243086295249,0.019547054954779826,32,165,0
0ncUeBmAPlIbfe8NycuS,-2.2738464355468753,2.5563201904296875,13.651602172851563,-0.4886501133441925,-1.6426252126693726,-0.08493486791849136,0.21202524608273804,-0.189452374962806,318,644.6666564941406,11
0pNKlr21M94z9bFofi0v,-2.1830780029296877,2.5183380126953128,13.157086181640626,-0.37331926822662354,-1.965010166168213,-0.03768026828765869,0.21664018344492272,-0.18880359276449685,315.6666564941406,677.3333282470703,11
10WKyELi2hjIwmG4kjih,1.7417968750000001,0.20994873046875,11.612826538085939,0.48216503858566284,2.9152932167053223,0.1161138191819191,0.020809298979696668,0.17117444326893308,36,158,0
10dxheVrTz1OjAIIBCDC,-2.48887939453125,2.8544952392578127,8.901287841796876,-0.6267560720443726,-1.9716053009033203,-0.10661672055721283,0.3554808223258639,-0.3128157469699189,329,644,11
1IySfMo7NHMrysTqJxlw,1.740899658203125,-0.6936981201171876,12.125885009765625,0.8200400471687317,3.490356206893921,0.45047450065612793,-0.06532348179770467,0.16408534937471775,34.33332824707031,153.66665649414062,0
1ZS10yXf5QdxK4K7OVxv,-0.1254608154296875,0.5754150390625,11.908160400390626,0.428949236869812,2.4100887775421143,0.28754523396492004,0.05541290410762569,-0.011600199760399063,38.33332824707031,163.3333282470703,0
